BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,31228313,ERO-DK,2,38.34049812150046,PA2_Manually,Manual Price Change,38.34049812150046,100.0
DK,31415191,SLI-DK,1,8.837134467640084,PA2_Manually,Manual Price Change,8.837134467640084,100.0
DK,32110555,LVE-DK,2,75.5252621289018,PA2_Manually,Manual Price Change,587.7186214254835,12.85
DK,32110555,UWH-DK,1,512.1933592965818,PA2_Manually,Manual Price Change,587.7186214254835,87.15
DK,33121212,SEC-DK,3,1391.4584081537523,PA2_Manually,Manual Price Change,1391.4584081537523,100.0
DK,33230099,B2B-DK,22,1994.0334151490324,PA2_Manually,Manual Price Change,2085.216787592881,95.63
DK,33230099,RET-DK,2,91.18337244384848,PA2_Manually,Manual Price Change,2085.216787592881,4.37
DK,33333333,B2B-DK,4,36.4750099563296,PA2_Manually,Manual Price Change,36.4750099563296,100.0
DK,33366304,B2B-DK,19,91.35981777426065,PA2_Manually,Manual Price Change,91.35981777426065,100.0
DK,33863900,LBN-DK,4,1223.49682067879,PA2_Manually,Manual Price Change,8030.4953728402925,15.24
DK,33863900,SEC-DK,2,6806.998552161503,PA2_Manually,Manual Price Change,8030.4953728402925,84.76
DK,33912091,IFO-DK,1,-34.304397931016,PA2_Manually,Manual Price Change,56.863082092580285,-60.33
DK,33912091,KMA-DK,1,91.16748002359628,PA2_Manually,Manual Price Change,56.863082092580285,160.33
DK,35250220,B2B-DK,1,6.283684139965143,PA2_Manually,Manual Price Change,6.283684139965143,100.0
DK,3544409000,KMA-DK,1,-3.0999999955542776,PA2_Manually,Manual Price Change,-3.0999999955542776,100.0
DK,3545302474,UWH-DK,15,979.408548302062,PA2_Manually,Manual Price Change,979.408548302062,100.0
DK,3545444222,UWH-DK,26,1476.7191410904022,PA2_Manually,Manual Price Change,1476.7191410904022,100.0
DK,3548970713,SEC-DK,1,84.2266174991619,PA2_Manually,Manual Price Change,108.7528712181037,77.45
DK,3548970713,UWH-DK,1,24.52625371894181,PA2_Manually,Manual Price Change,108.7528712181037,22.55
DK,35836800,MIJ-DK,5,39.23855486292646,PA2_Manually,Manual Price Change,76.24133007106707,51.47
DK,35836800,PAV-DK,4,37.00277520814061,PA2_Manually,Manual Price Change,76.24133007106707,48.53
DK,36444200,B2B-DK,1,288.62660944206004,PA2_Manually,Manual Price Change,288.62660944206004,100.0
DK,38146105,KMA-DK,1,3.4067598911338437,PA2_Manually,Manual Price Change,3.4067598911338437,100.0
DK,38796843,B2B-DK,1,29.76709261320209,PA2_Manually,Manual Price Change,29.76709261320209,100.0
DK,38862861,LVE-DK,5,22.78194575857704,PA2_Manually,Manual Price Change,9.374963402165823,243.01
DK,38862861,MPE-DK,1,-13.406982356411218,PA2_Manually,Manual Price Change,9.374963402165823,-143.01
DK,39163131,SEC-DK,7,175.6893941826245,PA2_Manually,Manual Price Change,175.6893941826245,100.0
DK,39484800,KMA-DK,49,3581.8416798837807,PA2_Manually,Manual Price Change,3581.8416798837807,100.0
DK,39657755,DKR-DK,1,14.952619657145922,PA2_Manually,Manual Price Change,14.952619657145922,100.0
